name;trigger;duration
frequent;1;20
oddball;2;20
fade_frequent;3;20
fade_oddball;4;20
good_trial;5;20
bad_trial;6;20
off;0;20
rossion;10;20
100;15;20
75;14;20
50;13;20
25;12;20
0;11;20
pair1_100;25;20
pair2_100;35;20
pair3_100;45;20
pair4_100;55;20
pair5_100;65;20
pair6_100;75;20
pair1_075;24;20
pair2_075;34;20
pair3_075;44;20
pair4_075;54;20
pair5_075;64;20
pair6_075;74;20
pair1_050;23;20
pair2_050;33;20
pair3_050;43;20
pair4_050;53;20
pair5_050;63;20
pair6_050;73;20
pair1_025;22;20
pair2_025;32;20
pair3_025;42;20
pair4_025;52;20
pair5_025;62;20
pair6_025;72;20
pair1_000;21;20
pair2_000;31;20
pair3_000;41;20
pair4_000;51;20
pair5_000;61;20
pair6_000;71;20
own_100;16;20
other_100;17;20
humans;18;20
apes;19;20